Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
783310,Powers of Horror: An Essay on Abjection,Julia Kristeva,"Kristeva, Julia",Leon Roudiez,"=""0231053479""","=""9780231053471""",5,4.07,Columbia University Press,Paperback,219,1982,1980,2021/12/31,2019/04/27,"siguientes, físicos","siguientes (#1), físicos (#109)",read,,,,1,0
44431961,La mujer en el mundo: Atlas de la geografía feminista,Joni Seager,"Seager, Joni",,"=""8417338837""","=""9788417338831""",0,4.32,GRIJALBO,Kindle Edition,208,2018,2018,2021/12/30,2020/12/08,físicos,físicos (#7),read,,,,1,1
55685539,Lumpérica: Edición 2020 (Spanish Edition),Diamela Eltit,"Eltit, Diamela",,"=""9569949627""","=""9789569949623""",0,3.61,Seix Barral Chile,Kindle Edition,218,2020,1998,,2021/12/29,to-read,to-read (#279),to-read,,,,0,0
59820974,Las relaciones sexuales y la lucha de clases / El comunismo y la familia,Alejandra Kollontai,"Kollontai, Alejandra",,"=""""","=""""",3,4.11,Ediciones Espartaco,Paperback,52,2014,1911,,2021/12/13,,,read,,,,2,0
58670671,"¿Un cuerpo equivocado?. Identidad de género, derechos y caminos de transición",Constanza Valdes,"Valdes, Constanza",,"=""""","=""""",3,4.31,,Paperback,126,2021,2021,2021/12/21,2021/11/27,físicos,físicos (#107),read,,,,1,0
10766792,58 Indicios Sobre El Cuerpo: Extensión Del Alma,Jean-Luc Nancy,"Nancy, Jean-Luc",,"=""9872288453""","=""9789872288457""",4,4.18,EDICIONES LA CEBRA,Paperback,68,2008,2007,2021/12/21,2020/05/27,físicos,físicos (#108),read,,,,1,0
52729447,Las relaciones sexuales y la lucha de clases,Alejandra Kollontai,"Kollontai, Alejandra",,"=""""","=""9789563400694""",0,4.11,,Mass Market Paperback,52,2014,1911,,2021/12/13,to-read,to-read (#278),to-read,,,,0,0
45163619,Devuélvannos el oro: Cosmovisiones perversas y acciones anticoloniales,Colectivo Ayllu,"Ayllu, Colectivo","Sergio Zevallos, Yos Piña Narváez, Yuderkys Espinosa Miñoso, Vicky Boisan, Gabriela Wiener, Sofía Perdomo Sanz, Francisco Godoy Vega, Daniela Ortiz, Lucrecia Masson, Leo Zelada, Giovanni Collazos Carrasco, Yeison Fernando García López, Anyely Marín Cisneros, Various","=""8409059975""","=""9788409059973""",4,3.92,Madrid: FRAGMA,Paperback,198,2018,,2021/12/13,2021/10/29,físicos,físicos (#106),read,,,,1,0
2874904,"Nietzsche, Freud, Marx (Spanish Edition)",Michel Foucault,"Foucault, Michel","Carlos Rincon, Eduardo Grüner","=""9879035046""","=""9789879035047""",5,3.57,El Cielo Por Asalto,Paperback,64,1995,1965,2019/09/24,2019/04/27,físicos,físicos (#70),read,,,,1,1
1009259,"Xenos (Eisenhorn, #1)",Dan Abnett,"Abnett, Dan",,"=""0743411692""","=""9780743411691""",5,4.14,Games Workshop,Mass Market Paperback,288,2004,2001,2021/11/27,2020/12/01,,,read,,,,1,0
18285,"Queer Phenomenology: Orientations, Objects, Others",Sara Ahmed,"Ahmed, Sara",,"=""0822339145""","=""9780822339144""",4,4.31,Duke University Press,Paperback,223,2006,2006,2021/11/23,2020/07/31,físicos,físicos (#102),read,,,,1,0
2941259,"Mechanicum (The Horus Heresy, #9)",Graham McNeill,"McNeill, Graham",,"=""1844166066""","=""9781844166060""",3,3.89,Games Workshop,Mass Market Paperback,416,2008,2008,2021/10/28,2021/04/05,,,read,,,,1,0
41223570,La arqueología del saber (Teoría) (Spanish Edition),Michel Foucault,"Foucault, Michel",,"=""6070303997""","=""9786070303999""",4,4.11,Siglo XXI Editores México,Kindle Edition,228,2013,1969,2019/11/03,2019/09/26,físicos,físicos (#73),read,,,,1,1
45691922,The Shape of Sex: Nonbinary Gender from Genesis to the Renaissance,Leah DeVun,"DeVun, Leah",,"=""0231195508""","=""9780231195508""",0,4.15,Columbia University Press,Hardcover,336,2021,2021,,2021/10/20,to-read,to-read (#277),to-read,,,,0,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",4,4.10,Ace,Paperback,304,2000,1969,2021/10/08,2018/08/26,,,read,"Empecé a leerlo por la premisa de una sociedad de humanos sin un sexo fijo, sin una identidad de género binaria. Una sociedad donde cada individuo vive ciclos de sexualidad cambiante, y cuya identidad o expresión no se basan en asignación sexo-genérica alguna. Sin embargo, estos interesantes detalles no son más que eso, detalles, en la trama de este libro. La autora construye un mundo creíble, vasto, suficientemente familiar y suficientemente alienígena. La trama no es compleja, aunque sí involucra muchos personajes, facciones y naciones. En algunos momentos pensé en desistir del libro, pero tiene algo que me atrajo; quizás ese ambiente creíble de vida humana en un mundo extraterrestre, esos momentos de choque cultural, el contexto tecnomedieval, o tantos otros elementos memorables del mundo. Pero lo que más destacó para mi fue la calidad de la escritura, la construcción del mundo, y la profundidad a la que llega en escenas cotidianas de una travesía inaudita. ",,,1,0
49019120,Transgender Marxism,Jules Joanne Gleeson,"Gleeson, Jules Joanne",Elle O'Rourke,"=""0745341667""","=""9780745341668""",4,3.88,Pluto Press,Paperback,320,2020,2021,2021/10/07,2021/07/10,físicos,físicos (#100),read,"Bien interesante. Desde muchas perspectivas, tratan tanto la temática transgénero como el marxismo, intentando hacer puentes entre ambos, pero no siempre de manera convincente. Muchas veces la relación apenas se reduce a “la gente trans es proletaria/socialista” o en “el comunismo es emancipación, ergo necesario para la liberación trans”. Ningún ensayo me convenció realmente de la relación de marxismo y lo trans, aunque sí muchos me iluminaron sobre uno o el otro tema. Otra crítica sería que hay textos sobre lo trans donde se nota que la temática marxista se introduce al final, y más o menos a la fuerza.",,,1,0
24920235,Selected Poems: Marina Tsvetaeva,Marina Tsvetaeva,"Tsvetaeva, Marina",David McDuff,"=""1780372302""","=""9781780372303""",3,4.31,Bloodaxe Books,Kindle Edition,193,2015,1971,2018/07/12,2018/02/06,,,read,,,,1,0
414999,Childhood’s End,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,4.12,Del Rey Books,Mass Market Paperback,224,1987,1953,,2021/08/29,to-read,to-read (#276),to-read,,,,0,0
43862097,Hombres que ya no hacen sufrir por amor - Transformando las masculinidades,Coral Herrera Gómez,"Gómez, Coral Herrera",,"=""""","=""""",0,3.74,Catarata,Unknown Binding,176,2019,2019,,2021/08/28,to-read,to-read (#275),to-read,,,,0,0
40982211,The Xenofeminist Manifesto: A Politics for Alienation,Laboria Cuboniks,"Cuboniks, Laboria",,"=""1788731573""","=""9781788731577""",5,3.61,Verso,Paperback,96,2018,2015,2021/08/23,2021/08/23,físicos,físicos (#105),read,,,,1,0
